0.000000 1.097680  -8.60930500
0.010000 1.098696  -8.60930605
0.020000 1.099743  -8.60930703
0.030000 1.100819  -8.60930794
0.040000 1.101920  -8.60930877
0.050000 1.103046  -8.60930951
0.060000 1.104193  -8.60931016
0.070000 1.105359  -8.60931072
0.080000 1.106543  -8.60931118
0.090000 1.107741  -8.60931154
0.100000 1.108950  -8.60931181
0.110000 1.110170  -8.60931197
0.120000 1.111397  -8.60931204
0.130000 1.112630  -8.60931201
0.140000 1.113865  -8.60931189
0.150000 1.115100  -8.60931168
0.160000 1.116333  -8.60931138
0.170000 1.117562  -8.60931100
0.180000 1.118785  -8.60931054
0.190000 1.119999  -8.60931001
0.200000 1.121203  -8.60930942
0.210000 1.122393  -8.60930876
0.220000 1.123568  -8.60930806
0.230000 1.124726  -8.60930730
0.240000 1.125865  -8.60930650
0.250000 1.126983  -8.60930567
0.260000 1.128078  -8.60930481
0.270000 1.129149  -8.60930392
0.280000 1.130192  -8.60930302
0.290000 1.131208  -8.60930210
0.300000 1.132193  -8.60930119
0.310000 1.133147  -8.60930027
0.320000 1.134068  -8.60929936
0.330000 1.134955  -8.60929845
0.340000 1.135805  -8.60929757
0.350000 1.136619  -8.60929671
0.360000 1.137393  -8.60929587
0.370000 1.138128  -8.60929506
0.380000 1.138822  -8.60929428
0.390000 1.139475  -8.60929354
0.400000 1.140084  -8.60929284
0.410000 1.140649  -8.60929218
0.420000 1.141170  -8.60929157
0.430000 1.141646  -8.60929100
0.440000 1.142075  -8.60929049
0.450000 1.142457  -8.60929003
0.460000 1.142792  -8.60928963
0.470000 1.143079  -8.60928928
0.480000 1.143318  -8.60928899
0.490000 1.143508  -8.60928875
0.500000 1.143650  -8.60928858
0.510000 1.143742  -8.60928847
0.520000 1.143785  -8.60928841
0.530000 1.143778  -8.60928842
0.540000 1.143722  -8.60928849
0.550000 1.143617  -8.60928862
0.560000 1.143463  -8.60928881
0.570000 1.143260  -8.60928906
0.580000 1.143009  -8.60928936
0.590000 1.142709  -8.60928973
0.600000 1.142362  -8.60929015
0.610000 1.141967  -8.60929062
0.620000 1.141526  -8.60929115
0.630000 1.141039  -8.60929172
0.640000 1.140506  -8.60929235
0.650000 1.139929  -8.60929302
0.660000 1.139309  -8.60929373
0.670000 1.138645  -8.60929448
0.680000 1.137940  -8.60929526
0.690000 1.137195  -8.60929608
0.700000 1.136410  -8.60929693
0.710000 1.135587  -8.60929780
0.720000 1.134727  -8.60929869
0.730000 1.133831  -8.60929959
0.740000 1.132902  -8.60930051
0.750000 1.131939  -8.60930143
0.760000 1.130946  -8.60930234
0.770000 1.129923  -8.60930325
0.780000 1.128872  -8.60930415
0.790000 1.127795  -8.60930503
0.800000 1.126694  -8.60930589
0.810000 1.125570  -8.60930671
0.820000 1.124426  -8.60930750
0.830000 1.123263  -8.60930825
0.840000 1.122084  -8.60930894
0.850000 1.120890  -8.60930958
0.860000 1.119683  -8.60931016
0.870000 1.118467  -8.60931067
0.880000 1.117242  -8.60931111
0.890000 1.116012  -8.60931146
