0.000000 1.313220  -4.86133197
0.000100 1.313230  -4.86133196
0.000200 1.313240  -4.86133194
0.000300 1.313250  -4.86133193
0.000400 1.313260  -4.86133191
0.000500 1.313270  -4.86133190
0.000600 1.313280  -4.86133188
0.000700 1.313290  -4.86133187
0.000800 1.313300  -4.86133185
0.000900 1.313310  -4.86133184
0.001000 1.313320  -4.86133182
0.001100 1.313330  -4.86133181
0.001200 1.313340  -4.86133179
0.001300 1.313350  -4.86133178
0.001400 1.313359  -4.86133176
0.001500 1.313369  -4.86133175
0.001600 1.313379  -4.86133173
0.001700 1.313389  -4.86133172
0.001800 1.313399  -4.86133170
0.001900 1.313409  -4.86133169
0.002000 1.313419  -4.86133167
0.002100 1.313429  -4.86133166
0.002200 1.313439  -4.86133164
0.002300 1.313448  -4.86133163
0.002400 1.313458  -4.86133161
0.002500 1.313468  -4.86133160
0.002600 1.313478  -4.86133158
0.002700 1.313488  -4.86133157
0.002800 1.313498  -4.86133155
0.002900 1.313507  -4.86133154
0.003000 1.313517  -4.86133152
0.003100 1.313527  -4.86133151
0.003200 1.313537  -4.86133149
0.003300 1.313547  -4.86133148
0.003400 1.313556  -4.86133146
0.003500 1.313566  -4.86133145
0.003600 1.313576  -4.86133143
0.003700 1.313586  -4.86133142
0.003800 1.313596  -4.86133140
0.003900 1.313605  -4.86133139
0.004000 1.313615  -4.86133137
0.004100 1.313625  -4.86133136
0.004200 1.313634  -4.86133134
0.004300 1.313644  -4.86133133
0.004400 1.313654  -4.86133131
0.004500 1.313664  -4.86133130
0.004600 1.313673  -4.86133128
0.004700 1.313683  -4.86133127
0.004800 1.313693  -4.86133125
0.004900 1.313702  -4.86133124
0.005000 1.313712  -4.86133122
0.005100 1.313722  -4.86133121
0.005200 1.313732  -4.86133119
0.005300 1.313741  -4.86133118
0.005400 1.313751  -4.86133116
0.005500 1.313761  -4.86133115
0.005600 1.313770  -4.86133113
0.005700 1.313780  -4.86133112
0.005800 1.313789  -4.86133110
0.005900 1.313799  -4.86133109
0.006000 1.313809  -4.86133107
0.006100 1.313818  -4.86133106
0.006200 1.313828  -4.86133104
0.006300 1.313838  -4.86133103
0.006400 1.313847  -4.86133101
0.006500 1.313857  -4.86133100
0.006600 1.313866  -4.86133098
0.006700 1.313876  -4.86133096
0.006800 1.313885  -4.86133095
0.006900 1.313895  -4.86133093
0.007000 1.313905  -4.86133092
0.007100 1.313914  -4.86133090
0.007200 1.313924  -4.86133089
0.007300 1.313933  -4.86133087
0.007400 1.313943  -4.86133086
0.007500 1.313952  -4.86133084
0.007600 1.313962  -4.86133083
0.007700 1.313971  -4.86133081
0.007800 1.313981  -4.86133080
0.007900 1.313990  -4.86133078
0.008000 1.314000  -4.86133077
0.008100 1.314009  -4.86133075
0.008200 1.314019  -4.86133074
0.008300 1.314028  -4.86133072
0.008400 1.314038  -4.86133071
0.008500 1.314047  -4.86133069
0.008600 1.314057  -4.86133068
0.008700 1.314066  -4.86133066
0.008800 1.314075  -4.86133065
0.008900 1.314085  -4.86133063
0.009000 1.314094  -4.86133062
0.009100 1.314104  -4.86133060
0.009200 1.314113  -4.86133058
0.009300 1.314123  -4.86133057
0.009400 1.314132  -4.86133055
0.009500 1.314141  -4.86133054
0.009600 1.314151  -4.86133052
0.009700 1.314160  -4.86133051
0.009800 1.314170  -4.86133049
0.009900 1.314179  -4.86133048
0.010000 1.314188  -4.86133046
0.010100 1.314198  -4.86133045
0.010200 1.314207  -4.86133043
0.010300 1.314216  -4.86133042
0.010400 1.314226  -4.86133040
0.010500 1.314235  -4.86133039
0.010600 1.314244  -4.86133037
0.010700 1.314254  -4.86133036
0.010800 1.314263  -4.86133034
0.010900 1.314272  -4.86133032
0.011000 1.314282  -4.86133031
0.011100 1.314291  -4.86133029
0.011200 1.314300  -4.86133028
0.011300 1.314309  -4.86133026
0.011400 1.314319  -4.86133025
0.011500 1.314328  -4.86133023
0.011600 1.314337  -4.86133022
0.011700 1.314347  -4.86133020
0.011800 1.314356  -4.86133019
0.011900 1.314365  -4.86133017
0.012000 1.314374  -4.86133016
0.012100 1.314384  -4.86133014
0.012200 1.314393  -4.86133013
0.012300 1.314402  -4.86133011
0.012400 1.314411  -4.86133009
0.012500 1.314420  -4.86133008
0.012600 1.314430  -4.86133006
0.012700 1.314439  -4.86133005
0.012800 1.314448  -4.86133003
0.012900 1.314457  -4.86133002
0.013000 1.314466  -4.86133000
0.013100 1.314475  -4.86132999
0.013200 1.314485  -4.86132997
0.013300 1.314494  -4.86132996
0.013400 1.314503  -4.86132994
0.013500 1.314512  -4.86132993
0.013600 1.314521  -4.86132991
0.013700 1.314530  -4.86132989
0.013800 1.314539  -4.86132988
0.013900 1.314549  -4.86132986
0.014000 1.314558  -4.86132985
0.014100 1.314567  -4.86132983
0.014200 1.314576  -4.86132982
0.014300 1.314585  -4.86132980
0.014400 1.314594  -4.86132979
0.014500 1.314603  -4.86132977
0.014600 1.314612  -4.86132976
0.014700 1.314621  -4.86132974
0.014800 1.314630  -4.86132973
0.014900 1.314639  -4.86132971
0.015000 1.314648  -4.86132969
0.015100 1.314657  -4.86132968
0.015200 1.314666  -4.86132966
0.015300 1.314675  -4.86132965
0.015400 1.314685  -4.86132963
0.015500 1.314694  -4.86132962
0.015600 1.314703  -4.86132960
0.015700 1.314712  -4.86132959
0.015800 1.314721  -4.86132957
0.015900 1.314729  -4.86132955
0.016000 1.314738  -4.86132954
0.016100 1.314747  -4.86132952
0.016200 1.314756  -4.86132951
0.016300 1.314765  -4.86132949
0.016400 1.314774  -4.86132948
0.016500 1.314783  -4.86132946
0.016600 1.314792  -4.86132945
0.016700 1.314801  -4.86132943
0.016800 1.314810  -4.86132942
0.016900 1.314819  -4.86132940
0.017000 1.314828  -4.86132938
